Category,name,description,effect,responsibility,Glitch Effect,Count
Glitch,Resource Reshuffle,Resources are reassigned in your favour.,,,Draw 2 Action Cards,
Cyber Intervention,Industrial Attack,Hack into the control systems of a target factory and cause damage to the production line.,2,-2,,2
Cyber Intervention,Information Release,Find information about your target and release it on the internet.,1,-1,,
Glitch,Resource Reshuffle,Resources are reassigned due to a crisis event.,,,Discard 1 Action Card,
Technology,Online Influence,Online engagement can be used to reach out to an individual who poses a significant threat and seek to influence their actions in a positive way.,1,1,,
Technology,Zero Day,"A previously undocumented vulnerability. Using it is effective, although it could be exploited by other less responsible actors in the future.",3,0,,
Technology,Clandestine Technology,Air-gapped or hardened networks can be accessed by installing bespoke technology on the network using clandestine techniques.,3,1,,
Glitch,Budget Increase,A recent spending increase from the government speeds up your development work.,,,Draw 2 Action Cards,
Technology,Code Injection,Some websites or services will run any code that is passed in by a user. This can be used to compromise or break a target system.,2,1,,
Cyber Intervention,Information Release,Break into your target’s emails and release them to journalists.,2,0,,
Cyber Intervention,Denial of Service,Overwhelm a target system with vast amounts of specially created internet traffic.,1,-1,,
Governance,Risk Management,A strong risk management framework minimises the likelihood of unintended consequences and increases precision.,1,1,,
Glitch,Keep a Zero Day Exploit,Your equities board decides you can keep your zero day exploit a secret.,,,Draw 2 Action Cards,
